StuID,checkinTime,ProofPath,checkinType,IsSuc,checkinResult
201416920102,2017-07-11 15:25:23,Auto,Random,none,init
201416920215,2017-07-11 15:25:23,Auto,Random,none,init
201416920220,2017-07-11 15:25:23,Auto,Random,none,init
201416920401,2017-07-11 15:25:23,Auto,Random,none,init
201416920405,2017-07-11 15:25:23,Auto,Random,none,init
201416920101,2017-07-11 15:26:18,wwq,Auto,False,
201416920101,2017-07-11 15:26:32,wda,Auto,True,
201416920101,2017-07-11 15:26:32,wda,Auto,True,出勤
201416920102,2017-07-11 15:25:23,Auto,Random,none,缺勤
201416920104,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920105,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920106,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920215,2017-07-11 15:25:23,Auto,Random,none,缺勤
201416920217,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920218,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920219,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920220,2017-07-11 15:25:23,Auto,Random,none,缺勤
201412030210,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920401,2017-07-11 15:25:23,Auto,Random,none,缺勤
201416920403,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920405,2017-07-11 15:25:23,Auto,Random,none,缺勤
201416920406,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920101,2017-07-11 15:26:32,wda,Auto,True,出勤
201416920102,2017-07-11 15:25:23,Auto,Random,none,缺勤
201416920104,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920105,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920106,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920215,2017-07-11 15:25:23,Auto,Random,none,缺勤
201416920217,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920218,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920219,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920220,2017-07-11 15:25:23,Auto,Random,none,缺勤
201412030210,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920401,2017-07-11 15:25:23,Auto,Random,none,缺勤
201416920403,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920405,2017-07-11 15:25:23,Auto,Random,none,缺勤
201416920406,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920101,2017-07-11 15:26:32,wda,Auto,True,出勤
201416920102,2017-07-11 15:25:23,Auto,Random,none,缺勤
201416920104,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920105,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920106,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920215,2017-07-11 15:25:23,Auto,Random,none,缺勤
201416920217,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920218,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920219,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920220,2017-07-11 15:25:23,Auto,Random,none,缺勤
201412030210,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920401,2017-07-11 15:25:23,Auto,Random,none,缺勤
201416920403,2017-07-11 17:39:49,none,Auto,False,缺勤
201416920405,2017-07-11 15:25:23,Auto,Random,none,缺勤
201416920406,2017-07-11 17:39:49,none,Auto,False,缺勤
