StuID,checkinTime,ProofPath,checkinType,IsSuc,checkinResult
201416920101,2017-07-09 10:37:51,none,Auto,F,缺勤
201416920102,2017-07-09 10:38:06,none,Auto,F,缺勤
201416920104,2017-07-09 10:38:06,none,Auto,F,缺勤
201416920105,2017-07-09 10:38:06,none,Auto,F,缺勤
201416920106,2017-07-09 10:38:06,none,Auto,F,缺勤
201416920215,2017-07-09 10:38:06,none,Auto,F,缺勤
201416920217,2017-07-09 10:38:06,none,Auto,F,缺勤
201416920218,2017-07-09 10:38:06,none,Auto,F,缺勤
201416920219,2017-07-09 10:38:06,none,Auto,F,缺勤
201416920220,2017-07-09 10:38:06,none,Auto,F,缺勤
201412030210,2017-07-09 10:38:06,none,Auto,F,缺勤
201416920401,2017-07-09 10:38:06,none,Auto,F,缺勤
201416920403,2017-07-09 10:38:06,none,Auto,F,缺勤
201416920405,2017-07-09 10:38:06,none,Auto,F,缺勤
201416920406,2017-07-09 10:38:06,none,Auto,F,缺勤
